id_facility,name,address,city,state,zip
2654,Buffalo Wild Wings No. 3092,907 W Marketview DR,CHAMPAIGN,IL,61822
2655,Buffalo Wild Wings No. 3327,1335 Savoy Plaza DR,SAVOY,IL,61874
1344,Bundles of Joy Learning Center,1508 N Ridgeway,CHAMPAIGN,IL,61821
555,Bunny's Tavern,119 W Water,URBANA,IL,61801
1688,Burger King,1325 N Dunlap AVE,SAVOY,IL,61874
1339,Burger King,1708 S Philo RD,URBANA,IL,61802
1405,Burger King,2005 W Springfield AVE,CHAMPAIGN,IL,61821
1406,Burger King,2110 N Prospect AVE,CHAMPAIGN,IL,61820
40,Burger King,720 W Champaign AVE,RANTOUL,IL,61866
2580,Burger King No. 23064,1106 W University AVE,URBANA,IL,61801
1709,Burrito King,408 E Green ST,CHAMPAIGN,IL,61820
1796,Burrito King No. 1 (Mobile) CU,408 E Green ST,CHAMPAIGN,IL,61820
2233,Busy Bunnies Preschool,106 W Front ST,FISHER,IL,61843
1526,Butcher Boy Burgers,422 S Garrard,RANTOUL,IL,61866
13,Buzzard's Fine Dining & Other Things,111 S Third ST,FISHER,IL,61843
2602,C & C Kitchen,107 E Sangamon,RANTOUL,IL,61866
242,C-K German Roasted Almonds,206 S Garrard,RANTOUL,IL,61866
1569,C-U Public Health District (Summer Food),201 W Kenyon RD,CHAMPAIGN,IL,61820
1361,Cactus Grill,1405 S Neil,CHAMPAIGN,IL,61820
727,Caf̩ Kopi,109 N Walnut ST,CHAMPAIGN,IL,61820
2639,Cafe Social Here,308 E Green ST STE 1,CHAMPAIGN,IL,61820
2066,Caffe Bene,700 S Gregory ST,URBANA,IL,61801
2701,Caffe Bene Green,524 E Green ST STE 102,CHAMPAIGN,IL,61820
1798,Caffe Paradiso,801 S Lincoln AVE,URBANA,IL,61801
780,Cake Artists Studio,1100 W Bloomington RD,CHAMPAIGN,IL,61821
2182,Circle K No. 1406,1503 N Neil ST,CHAMPAIGN,IL,61820
2178,Circle K No. 1413,507 W University AVE,URBANA,IL,61801
2188,Circle K No. 1430,1295 E Grove AVE,RANTOUL,IL,61866
2185,Circle K No. 1432,506 S Prairieview RD,MAHOMET,IL,61853
2177,Circle K No. 1434,810 W Green ST,URBANA,IL,61801
2181,Circle K No. 1438,3604 N Mattis AVE,CHAMPAIGN,IL,61822
2180,Circle K No. 1442,1511 N Prospect AVE,CHAMPAIGN,IL,61820
2179,Circle K No. 1443,4202 W Springfield AVE,CHAMPAIGN,IL,61822
2187,Circle K No. 1445,222 S Murray RD,RANTOUL,IL,61866
1011,Circle K No. 159,1809 N Cunningham,URBANA,IL,61802
2420,Cambridge Sweets Confection @ Marble's,104 W Tomaras ST,SAVOY,IL,61874
2208,Cameron's Catering Inc. @ Marble's,104 W Tomaras AVE,SAVOY,IL,61874
1773,Camp Caring Place,808 W University AVE,URBANA,IL,61801
1210,Camp Kiwanis,219 S Lake of the Woods RD,MAHOMET,IL,61853
2390,Campus Burger/Chick Shack,2000 N Neil ST SPC 706,CHAMPAIGN,IL,61820
2143,Campus Pantry,112 E Green ST,CHAMPAIGN,IL,61820
560,Canaan Academy,207 N Central AVE,URBANA,IL,61801
1633,Candlewood Suites,1917 Moreland BLVD,CHAMPAIGN,IL,61822
888,Canopy,708 S Goodwin,URBANA,IL,61801
2150,Caribbean Grill (Mobile) @ Refinery,2135 S Neil ST,CHAMPAIGN,IL,61820
425,Circle K No. 38,809 W Green,URBANA,IL,61801
902,Circle K No. 90,601 N Neil,CHAMPAIGN,IL,61820
838,Circle K No. 97,1101 N Prospect,CHAMPAIGN,IL,61820
2616,City Market of Champaign,301 Bloomington RD,CHAMPAIGN,IL,61820
2589,City Quick Mart,2005 S Philo RD,URBANA,IL,61802
1231,Clark Bar,207 W Clark ST,CHAMPAIGN,IL,61820
776,"Clark-Lindsey Village, Inc.",101 W Windsor RD,URBANA,IL,61802
1822,Classic Events,2560 Stone Creek BLVD,URBANA,IL,61802
1896,Clingan Auction & Realty,1707 CR 2200 N RD,ST. JOSEPH,IL,61873
1359,Clybourne,706 S Sixth ST,CHAMPAIGN,IL,61820
1372,Cocomero,709 S Wright ST,CHAMPAIGN,IL,61820
1089,Cohen Center for Jewish Life,503 E John ST,CHAMPAIGN,IL,61820
2374,Cold Stone Creamery,505 E Green ST,CHAMPAIGN,IL,61820
2570,College Chefs @ Traxside,4 E Holden ST,TOLONO,IL,61880
2105,Colonial Liquors,219 S Maplewood DR,RANTOUL,IL,61866
2023,Columbia Center,1103 N Neil ST,CHAMPAIGN,IL,61820
2317,Comfort Suites,2001 N Lincoln AVE,URBANA,IL,61801
1262,Common Ground Food Co-op,300 S Broadway AVE STE 166,URBANA,IL,61801
1555,Community Service Ctr. (Food Pantry),520 E Wabash,RANTOUL,IL,61866
1427,Community United Church of Christ,805 S Sixth ST,CHAMPAIGN,IL,61820
1930,Complete Care Pharmacy,14 E Washington,CHAMPAIGN,IL,61820
2710,Complete Nutrition,1903 N Neil ST STE F,CHAMPAIGN,IL,61820
528,Cookie Jar,712 S Sixth,CHAMPAIGN,IL,61820
1516,Cookies by Design,510 N Cunningham AVE STE 4 & 5,URBANA,IL,61802
2190,Cool/Popped Bliss No. 9309 (Mobile),6 Southwood CT,CHAMPAIGN,IL,61821
174,Corner Concession,Rt. 136 West,GIFFORD,IL,61847
98,Country Health Nursing Home,2304 CR 3000 N,GIFFORD,IL,61847
2291,Country Inn & Suites,102 W Marketview DR,CHAMPAIGN,IL,61822
1214,Country Tyme Lanes,1568 E Grove,RANTOUL,IL,61866
2054,Countryside School,4301 W Kirby,CHAMPAIGN,IL,61822
854,County Market (Deli/Coffee),2901 W Kirby AVE,CHAMPAIGN,IL,61821
1363,County Market (Deli/Coffee),331 E Stoughton ST,CHAMPAIGN,IL,61820
1149,County Market (Groc/Mt/Bak),331 E Stoughton ST,CHAMPAIGN,IL,61820
808,County Market (Groc/Mt/Bak/Prod),2901 W Kirby AVE,CHAMPAIGN,IL,61821
1757,County Market No. 568 (Deli),1201 E Grove AVE,RANTOUL,IL,61866
1609,County Market No. 568 (Groc/Mt/Bak/Prod),1201 E Grove AVE,RANTOUL,IL,61866
656,Courier Caf̩,111 N Race ST,URBANA,IL,61801
628,Cowboy Monkey,6 Taylor ST,CHAMPAIGN,IL,61820
2611,Cracked on Green,619 E Green ST,CHAMPAIGN,IL,61820
2098,Cracked Truck Commissary,1205 N Harris AVE,CHAMPAIGN,IL,61820
2035,Cracked Truck No. 0899 (Mobile) CU,1205 N Harris AVE,CHAMPAIGN,IL,61820
1814,Cracked Truck No. 4773 (Mobile) CU,1205 N Harris AVE,CHAMPAIGN,IL,61820
883,Cracker Barrel No. 129,2101 N Kenyon RD,URBANA,IL,61801
1027,Crane Alley,115 W Main ST,URBANA,IL,61801
587,Cravings,603 S Wright ST,CHAMPAIGN,IL,61820
1199,Cream & Flutter,114 N Walnut ST,CHAMPAIGN,IL,61820
2335,Creative Dining Services @ Kraft,1701 Bradley AVE,CHAMPAIGN,IL,61821
2416,Cultivators Food Pantry/Kids Club,555 S Maplewood DR,RANTOUL,IL,61866
833,Culver's,2302 S Neil ST,CHAMPAIGN,IL,61820
713,Culver's,903 W Marketview,CHAMPAIGN,IL,61822
897,Cunningham Children's Home,1301 N Cunningham,URBANA,IL,61801
190,Curtis Orchard,3902 S Duncan,CHAMPAIGN,IL,61822
653,CVS No. 8667,1818 S Philo RD,URBANA,IL,61802
547,CVS No. 8683,107 W Green ST,CHAMPAIGN,IL,61820
566,CVS No. 8686,243 S Mattis,CHAMPAIGN,IL,61821
1836,CVS Pharmacy No. 5887,1111 N Dunlap,SAVOY,IL,61874
268,CVS Pharmacy No. 6933,1205 E Grove ST,RANTOUL,IL,61866
152,CVS Pharmacy No. 6935,804 Eastwood DR B,MAHOMET,IL,61853
1667,Caribbean Grill Catering @ Refinery,2302 W John ST,CHAMPAIGN,IL,61821
2625,Caribbean Grill Restaurant,2135 S Neil ST,CHAMPAIGN,IL,61820
675,Caring Place Child Care,809 W Park ST,URBANA,IL,61801
1799,Carle Auditory Oral School,805 W Park ST,URBANA,IL,61801
999,Carle Aux. Breezeway Express,611 W Park ST,URBANA,IL,61801
532,Carle Coffee Shop,611 W Park ST,URBANA,IL,61801
873,Carle Hospital (Kitchen),611 W Park,URBANA,IL,61801
2409,Carle South Clinic Coffee Bar,602 W University AVE,URBANA,IL,61801
704,Carmella's Cr̬me,1611 W Springfield AVE,CHAMPAIGN,IL,61821
1906,Carmike 13,910 Meijer DR,CHAMPAIGN,IL,61822
2393,Carriage Crossing Senior Living,1701 Congressional WAY,CHAMPAIGN,IL,61822
1768,Carrie Busey Elementary School,304 Prairie Rose LN,SAVOY,IL,61874
2386,Casa Fiesta Grill,215 E Sangamon,RANTOUL,IL,61866
1840,Casey's General Store,2100 E University AVE,URBANA,IL,61802
200,Casey's General Store No. 1492,500 Central AVE,THOMASBORO,IL,61878
201,Casey's General Store No. 1661,408 N Lincoln,PHILO,IL,61864
202,Casey's General Store No. 1669,2300 CR 3000N,GIFFORD,IL,61847
198,Casey's General Store No. 1770,401 E Warren ST,St Joseph,IL,61873
199,Casey's General Store No. 2007,102 S Prairieview RD,MAHOMET,IL,61853
196,Casey's General Store No. 2021,500 S Century BLVD,RANTOUL,IL,61866
144,Casey's General Store No. 2031,502 W Main ST,SIDNEY,IL,61877
157,Casey's General Store No. 2057,206 E Division ST PO BOX 40,FISHER,IL,61843
260,Casey's General Store No. 2224,502 N Main ST,HOMER,IL,61849
354,Casey's General Store No. 2258,501 N Long ST,TOLONO,IL,61880
1625,Casey's General Store No. 2930,300 S Century BLVD,RANTOUL,IL,61866
2376,CBPB Popcorn Shop,22 E Springfield AVE,CHAMPAIGN,IL,61820
453,Centennial High School,913 S Crescent DR,CHAMPAIGN,IL,61820
1567,Centennial High School (Summer Food),913 Crescent DR,CHAMPAIGN,IL,61820
1738,Centennial/Central H.S. Concessions (Outdoor-Football & Baseball),913 S Crescent DR,CHAMPAIGN,IL,61821
1495,Center of Hope Church (Food Pantry),1109 N Fourth ST,CHAMPAIGN,IL,61820
593,Central High School,610 W University,CHAMPAIGN,IL,61820
1737,Central High School Concessions (Indoor),610 W University AVE,CHAMPAIGN,IL,61820
362,Central Tavern,"403 Main St., Box 154",THOMASBORO,IL,61878
1019,Champaign Bickford Cottage (2 Kitchens: Main & Memory Care),1002 S Staley RD,CHAMPAIGN,IL,61822
1044,Champaign Co. Nursing Home,500 Art Bartell RD,URBANA,IL,61801
925,Champaign Country Club,1211 S Prospect,CHAMPAIGN,IL,61820
2240,Champaign Country Club Snack Bar,1211 S Prospect,CHAMPAIGN,IL,61820
758,Champaign Courtyard,1811 Moreland BLVD,CHAMPAIGN,IL,61820
822,Champaign Fairfield Inn & Suites,1807 Moreland BLVD,CHAMPAIGN,IL,61820
2583,Champaign Garden Inn,411 W Hill ST,CHAMPAIGN,IL,61820
932,Champaign Head Start,809 N Neil ST,CHAMPAIGN,IL,61820
2542,Champaign Le Peep,2209 S Neil ST,CHAMPAIGN,IL,61820
2578,Champaign Library Cafe,200 W Green ST,CHAMPAIGN,IL,61820
1902,Champaign Masonic Center,14 Bel-Air CT,CHAMPAIGN,IL,61820
1789,Champaign Mini Mart,1202 N Mattis AVE,CHAMPAIGN,IL,61821
1471,Champaign Regional Rehab Center,302 Burwash AVE,SAVOY,IL,61874
2637,Charley's Philly Steaks,203 N Lombard ST,MAHOMET,IL,61853
339,Charlie's,102 N Main,HOMER,IL,61849
1920,Chartwells @ Parkland College,2400 W Bradley AVE,CHAMPAIGN,IL,61821
1501,Cheese & Crackers,1715 W Kirby AVE UNIT A-08,CHAMPAIGN,IL,61821
1832,Chester's BBQ (Mobile) @ Project 47 (District),101 S Lombard ST,MAHOMET,IL,61853
1177,Chesterbrook Academy,2001 S Oak ST,CHAMPAIGN,IL,61820
661,Chesterbrook Academy,2208 S Duncan,CHAMPAIGN,IL,61822
2487,Chi Omega Sorority,907 S Wright ST,CHAMPAIGN,IL,61820
2440,Chi Psi Fraternity,606 W Ohio ST,URBANA,IL,61801
705,Children's Center Day Care,304 S Race ST,URBANA,IL,61801
1217,Chili's Grill & Bar,1905 N Prospect,CHAMPAIGN,IL,61821
10,China Express,1235 E Grove AVE,RANTOUL,IL,61866
2435,China Garden,114 N Vine ST STE M,URBANA,IL,61801
336,China King,205 E Warren,ST. JOSEPH,IL,61873
765,China King,2145 S Neil ST,CHAMPAIGN,IL,61820
804,Chinatown Buffet,713 Marketview DR,CHAMPAIGN,IL,61822
1821,Chipotle Mexican Grill No. 1837,903 W Anthony DR STE A,CHAMPAIGN,IL,61820
813,Chipotle Mexican Grill No. 771,"528 E Green St., Ste. 101",CHAMPAIGN,IL,61820
1687,Chopstix,202 E Green ST UNIT 1,CHAMPAIGN,IL,61820
1563,Church of the Brethren (Food Pantry),1210 N Neil ST,CHAMPAIGN,IL,61820
644,Circle K  No. 70,1301 S Neil ST,CHAMPAIGN,IL,61820
856,Circle K  No. 94,1821 S Philo RD,URBANA,IL,61801
745,Circle K No. 100,609 E University,CHAMPAIGN,IL,61820
577,Circle K No. 103,1713 W John ST,CHAMPAIGN,IL,61821
63,Circle K No. 105,301 S Murray RD,RANTOUL,IL,61866
1026,Circle K No. 1226,1301 S Mattis,CHAMPAIGN,IL,61821
1103,Circle K No. 1234,1501 N Lincoln AVE,URBANA,IL,61801
1232,Circle K No. 1300,2315 W Springfield AVE,CHAMPAIGN,IL,61821
1233,Circle K No. 1301,2011 N Lincoln AVE,URBANA,IL,61801
1234,Circle K No. 1312,1605 N Cunningham AVE,URBANA,IL,61802
2176,Circle K No. 1399,1601 W Springfield AVE,CHAMPAIGN,IL,61821
2184,Circle K No. 1400,407 N Dunlap UNIT A,SAVOY,IL,61874
2186,Circle K No. 1401,602 E Oak,MAHOMET,IL,61853
2183,Circle K No. 1403,59 E Green ST,CHAMPAIGN,IL,61820
695,D.P. Dough,33 E Green ST UNIT B,CHAMPAIGN,IL,61820
2617,Daily Bread & Soup Kitchen,116 N First ST,CHAMPAIGN,IL,61820
57,Dairy Queen,1103 Klein AVE,RANTOUL,IL,61866
164,Dairy Queen,1501 Lyndhurst Alley,SAVOY,IL,61874
15,Dairy Queen,601 E Oak ST,MAHOMET,IL,61853
14,Dairy Queen,701 N Third ST,ST. JOSEPH,IL,61873
984,Dairy Queen,911 W University,URBANA,IL,61081
1548,Daly's Sports Bar,116 W Washington,PHILO,IL,61864
2125,Dancing Dog Eatery & Juicery,126 W Main ST,URBANA,IL,61801
2314,Dave's Dogs (Mobile) @ CUCC,805 S Sixth ST,CHAMPAIGN,IL,61820
2365,Dave's Dogs Commissary @ CUCC,805 S Sixth ST,CHAMPAIGN,IL,61820
2400,Dave's Dogs Mobile Trailer @ CUCC,805 S Sixth ST,CHAMPAIGN,IL,61820
584,Days Inn,914 W Bloomington RD,CHAMPAIGN,IL,61821
2106,Days Inn Rantoul,801 W Champaign AVE,RANTOUL,IL,61866
2442,Delta Chi Fraternity,1111 S First ST,CHAMPAIGN,IL,61820
2472,Delta Delta Delta Sorority,508 E Chalmers ST,CHAMPAIGN,IL,61820
2475,Delta Gamma Sorority,1207 W Nevada ST,URBANA,IL,61801
2449,Delta Sigma Phi Fraternity,105 E Armory AVE,CHAMPAIGN,IL,61820
2453,Delta Tau Delta Fraternity,401 E John ST,CHAMPAIGN,IL,61820
2446,Delta Upsilon Fraternity,312 E Armory AVE,CHAMPAIGN,IL,61820
2484,Delta Zeta Sorority,710 W Ohio ST,URBANA,IL,61801
1888,Denny's Restaurant,702 W Town Center BLVD,CHAMPAIGN,IL,61822
1931,Derailed,57 E Main ST,CHAMPAIGN,IL,61820
1620,Destihl,301 N Neil ST UNIT 101,CHAMPAIGN,IL,61820
2621,Diamond's Cafe,1101 N Mattis AVE,CHAMPAIGN,IL,61821
1637,Discount Gas,102 S Mattis AVE,CHAMPAIGN,IL,61821
1818,Dish @ Illinois Terminal,45 E University FL 4,CHAMPAIGN,IL,61820
2274,Dish @ Judah Christian School,908 N Prospect AVE,CHAMPAIGN,IL,61820
1142,Dodd's 4-Plex,Parkland Way,CHAMPAIGN,IL,61821
2355,Dollar General,307 N Lincoln ST,PHILO,IL,61864
1955,Dollar General No. 14229,602 S Prairieview RD,MAHOMET,IL,61853
2302,Dollar General No. 15852,401 W Division ST,FISHER,IL,61843
2325,Dollar General No. 16570,3001 W Bradley AVE,CHAMPAIGN,IL,61821
1320,Dollar General No. 1819,1506 N Cunningham AVE,URBANA,IL,61802
2320,Dollar General No. 4590,409 E Champaign AVE,RANTOUL,IL,61866
27,Dollar General No. 9960,507 N Long,TOLONO,IL,61880
823,Dollar General Store # 7187,817 Bloomington RD,CHAMPAIGN,IL,61820
616,Dollar General Store No. 2277,2004 W Springfield UNIT B,CHAMPAIGN,IL,61821
2510,Dollar Tree No. 06399,235 S Mattis AVE,CHAMPAIGN,IL,61821
1369,Dollar Tree No. 2460,1333 Savoy Plaza,SAVOY,IL,61874
2018,Dollar Tree No. 5114,212 Twin Lakes DR,RANTOUL,IL,61866
2057,Dollar Tree No. 5414,1303 E Colorado AVE,URBANA,IL,61802
1219,Dollar Tree No. 546,2009 N Prospect AVE,CHAMPAIGN,IL,61821
2243,Domino's Pizza,205 N Lombard ST,MAHOMET,IL,61853
2202,Domino's Pizza No. 2900,1108 N Cunningham AVE,URBANA,IL,61802
2201,Domino's Pizza No. 2920,520 S Tanner,RANTOUL,IL,61866
2200,Domino's Pizza No. 2921,102 E Green ST,CHAMPAIGN,IL,61820
2199,Domino's Pizza No. 2923,1702 W Bradley AVE,CHAMPAIGN,IL,61821
2198,Domino's Pizza No. 2924,1803 W Kirby AVE,CHAMPAIGN,IL,61821
1035,Don Moyer - Park St. Unit,201 E Park ST,CHAMPAIGN,IL,61820
1296,Don Moyer Club (Summer Food),201 E Park ST,CHAMPAIGN,IL,61820
754,Dos Reales,1407 N Prospect AVE,CHAMPAIGN,IL,61820
2356,Dotty's,12 E Green ST,CHAMPAIGN,IL,61820
2363,Dotty's,1901 S Philo RD,URBANA,IL,61802
2264,Dotty's,501 S Mattis STE C,CHAMPAIGN,IL,61821
2211,Dotty's,914 Town Center BLVD,CHAMPAIGN,IL,61821
1268,Douglass Community Center (Summer Food),512 E Grove,CHAMPAIGN,IL,61820
761,DQ Grill & Chill,3602 N Mattis AVE,CHAMPAIGN,IL,61821
706,Dr. Howard School,1117 W Park AVE,CHAMPAIGN,IL,61820
603,Dr. Williams Elementary School,2102 E Washington,URBANA,IL,61801
2210,Dragon Fire (Mobile) @ Marble's,104 W Tomaras AVE,SAVOY,IL,61874
2122,Dragon Fire Commissary @ Marble's,104 W Tomaras,SAVOY,IL,61874
2254,Dragon Fire Mobile @ Marble's (County),104 W Tomaras,SAVOY,IL,61874
531,Drury Inn & Suites,905 W Anthony DR,CHAMPAIGN,IL,61820
1660,Dublin O'Neil's/301 Mongolia,301 N Neil ST STE 107,CHAMPAIGN,IL,61820
2340,Dunkin Donuts,1302 N Prospect AVE,CHAMPAIGN,IL,61820
2341,Dunkin Donuts,607 E Green ST,CHAMPAIGN,IL,61820
2337,Dunkin Donuts/Baskin Robbins,402 S Century BLVD,RANTOUL,IL,61866
2339,Dunkin Donuts/Baskin Robbins,404 W University AVE,URBANA,IL,61801
2338,Dunkin Donuts/Baskin Robbins,515 S Neil ST,CHAMPAIGN,IL,61820
2371,Eagle's View,200 W International AVE,RANTOUL,IL,61866
626,Eagles Club,605 Edgebrook DR,CHAMPAIGN,IL,61820
685,Early Learning,809 W Kirby,CHAMPAIGN,IL,61820
777,Eastland Suites,1907 N Cunningham,URBANA,IL,61801
62,Eastlawn Elementary School,650 N Maplewood DR,RANTOUL,IL,61866
72,"Eater, J.W., Jr. High & Indoor Concession",400 E Wabash AVE,RANTOUL,IL,61866
1771,Eden Supportive Living,222 N State ST,CHAMPAIGN,IL,61820
1204,Edible Arrangements,49 E Marketview DR,CHAMPAIGN,IL,61820
586,Edison Middle School,306 W Green ST,CHAMPAIGN,IL,61820
2025,Einstein Bros. Bagels,803 W Anthony DR,CHAMPAIGN,IL,61822
1530,Einstein Bros. Bagels,901 W University AVE STE 102,URBANA,IL,61801
1928,Einstein Bros. Bagels @ Illini Union,1401 W Green ST,URBANA,IL,61801
2310,Einstein Bros. Bagels @ Seibel Ctr.,201 N Goodwin AVE,URBANA,IL,61801
2311,Einstein Bros. Bagels @ Vet Med,2001 S Lincoln AVE,URBANA,IL,61801
2612,Einstein Bros. Bagels @ Willard Airport,11 Airport RD,SAVOY,IL,61874
420,El Charro Mexican Grocery,55 E Green ST,CHAMPAIGN,IL,61820
2398,El Mercadito Mexican Store,122 N Garrard ST,RANTOUL,IL,61866
1988,El Oasis,510 N Cunningham AVE STE 14,URBANA,IL,61802
2418,El Patio Mexican Restaurant,2506 Village Green PL,CHAMPAIGN,IL,61822
1842,El Progreso,1001 W Bloomington RD,CHAMPAIGN,IL,61821
1949,El Progreso,510 N Cunningham AVE STE 7-9,URBANA,IL,61802
1313,El Toro Bravo,2561 W Springfield AVE,CHAMPAIGN,IL,61821
1640,El Toro ll,723 S Neil ST,CHAMPAIGN,IL,61820
2076,El Toro of Mahomet,703 Eastwood Center DR,MAHOMET,IL,61853
1289,El Toro of Rantoul,1668 E Grove AVE,RANTOUL,IL,61866
1983,El Toro of St. Joseph,221 E Lincoln ST,ST. JOSEPH,IL,61873
